"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Client\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"d:\Project2\MyMvcBackend\Client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -2, -1, -13
"d:\Project2\MyMvcBackend\Client\README.md", "Markdown", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -6
"d:\Project2\MyMvcBackend\Client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -1, -15
"d:\Project2\MyMvcBackend\Client\package-lock.json", "JSON", 0, 0, 0, 0, 0, -2008, 0, 0, 0, 0, 0, 0, -1, -2009
"d:\Project2\MyMvcBackend\Client\package.json", "JSON", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, -1, -28
"d:\Project2\MyMvcBackend\Client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\Project2\MyMvcBackend\Client\src\app\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, -2, -13
"d:\Project2\MyMvcBackend\Client\src\app\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, -5, -37
"d:\Project2\MyMvcBackend\Client\src\app\Listening.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -84, -3, -9, -96
"d:\Project2\MyMvcBackend\Client\src\app\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -144, 0, -5, -149
"d:\Project2\MyMvcBackend\Client\src\app\Progress.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -105, 0, -3, -108
"d:\Project2\MyMvcBackend\Client\src\app\Reading.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -84, -3, -9, -96
"d:\Project2\MyMvcBackend\Client\src\app\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -171, -1, -6, -178
"d:\Project2\MyMvcBackend\Client\src\app\RenderTest.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1582, -30, -118, -1730
